From,To,Weight
0,7216,1
0,8896,1
0,2557,1
2,4093,1
3,209,1
3,3827,2
3,8628,1
3,2446,2
3,1057,1
5,2702,2
5,4000,1
7,360,1
7,7372,1
7,7,2
7,1333,1
8,1271,2
8,2398,1
9,2560,2
9,1709,2
9,5265,2
9,2325,2
10,6916,19
10,4093,1
10,10276,17
10,10009,1
10,2326,1
10,2550,1
10,6069,1
10,2560,1
10,1365,1
10,5042,1
10,3962,1
10,1061,1
10,3573,3
10,2676,20
11,7778,1
12,10418,1
12,328,1
12,8805,1
12,12,1
12,5589,1
12,7982,1
14,2645,1
14,5946,1
14,10185,1
14,4546,1
14,2066,1
14,4945,1
14,2987,1
14,8155,4
14,794,1
14,10170,1
14,206,3
14,7666,1
14,1465,1
14,6349,2
14,1073,1
14,2931,3
14,3056,3
14,7183,2
14,8226,1
14,5225,2
14,9516,1
14,4183,1
14,10458,1
16,9265,1
16,1488,2
16,4142,1
18,1936,4
1888,10674,1
1888,4712,1
1888,6246,1
1888,8866,1
1888,2513,1
1888,8280,11
1888,8965,1
1888,4943,1
1888,4862,4
1888,2066,1
1888,9023,1
1888,8237,1
1888,2867,8
1888,9491,2
1888,1750,7
1888,6593,1
1888,8131,1
1888,3357,1
1888,6422,1
1888,3559,1
1888,1712,1
1888,4913,1
1888,7483,1
1888,4334,8
1888,3307,1
1888,5969,7
1888,1529,1
1888,1757,1
1888,10886,2
1888,2802,1
1888,1966,2
1888,2534,7
1888,5633,2
1888,10316,1
1888,6349,2
1888,3974,1
1888,7511,1
1888,10015,1
1888,6572,2
1888,6148,1
1888,1333,1
1888,9054,1
1888,6887,16
1888,9194,1
1888,5228,1
1888,8894,1
1888,3405,1
108,1456,1
108,766,1
108,4589,1
108,7946,1
22,4490,2
22,7178,1
22,8491,1
22,5406,1
22,4112,7
22,7693,2
22,10298,7
22,2253,1
22,3220,1
22,5502,1
22,1708,1
22,1800,1
22,6291,2
22,2452,13
22,1324,7
22,73,2
22,7845,1
22,9937,4
22,1160,1
22,10058,1
22,3609,2
22,1333,1
22,7680,1
22,8954,1
22,10410,25
23,3593,2
25,5661,1
29,4807,1
29,7647,1
29,10403,2
29,7678,2
29,9194,1
29,8155,2
29,10380,1
29,8078,1
29,9280,2
29,3194,2
29,6349,2
29,10412,1
29,1057,1
32,5164,1
34,6622,52
34,1047,1
34,2093,4
34,2699,2
34,8733,1
34,10326,12
34,1113,2
34,10429,6
34,3082,3
34,5836,5
34,8119,2
34,10876,2
34,7866,3
34,10861,6
34,1583,2
34,10399,1
34,1079,1
34,6274,21
35,3377,6
35,6069,11
35,4901,1
35,7137,1
35,4727,1
36,7177,1
36,9137,1
36,5164,1
36,8749,1
10304,3593,1
39,7937,1
39,8066,1
39,4240,1
263,6282,1
45,9384,1
45,6475,2
45,2219,1
45,7140,1
45,5655,1
45,5439,1
45,5512,2
45,2128,1
45,566,6
45,3199,1
46,9087,1
46,7778,2
46,1271,2
46,7250,1
46,7912,1
48,6069,3
48,1045,1
48,5661,6
48,4093,4
48,1827,1
48,7021,3
322,3526,3
322,10416,3
322,1402,3
50,5107,4
50,1750,1
50,2611,12
50,10751,2
50,10430,1
50,4531,1
50,7589,2
50,346,3
50,2449,1
50,370,1
51,5265,2
52,6595,1
52,2989,2
52,6422,1
52,6349,4
52,4296,1
52,52,1
341,8310,1
56,4194,3
56,6069,1
56,6454,2
56,2333,1
56,9550,12
56,2143,68
56,2874,57
56,2611,4
56,8906,1
56,9970,1
56,1365,39
56,2367,68
56,10753,1
56,9514,2
56,1061,74
56,327,12
58,10264,1
58,4299,1
58,2611,1
58,3035,1
58,3609,1
58,10886,1
58,10765,1
58,3240,3
58,6544,1
58,6887,59
58,9280,1
58,10733,1
58,10410,1
58,1665,1
59,10473,3
59,2624,1
59,9758,1
59,10478,1
59,3573,1
59,7618,1
59,4947,1
59,8677,1
59,3833,1
62,3526,1
62,9871,1
63,7647,1
63,8078,1
63,4491,2
63,5994,1
63,1543,2
63,9879,2
63,2867,1
63,7962,1
63,3035,1
63,5817,2
63,2702,4
63,969,3
63,2560,1
63,3812,3
63,2676,4
63,4046,1
63,6177,1
63,4693,1
63,6296,1
63,3194,1
63,3009,1
63,6835,1
63,10403,2
63,6397,5
63,5265,7
63,320,2
63,2935,5
63,4055,1
63,1379,1
63,820,1
64,6887,4
64,10538,2
64,1779,1
65,10886,1
65,6887,1
65,5661,1
65,3573,1
66,8790,1
66,513,1
66,2293,1
68,7361,1
68,9986,3
68,2581,1
68,7408,1
68,2201,1
68,6531,1
68,8036,1
68,7178,1
68,8155,2
68,10646,1
68,1558,1
68,8659,1
68,6559,1
68,4603,4
68,5703,2
68,1776,1
68,1687,2
68,8166,1
68,6043,1
71,6031,2
71,9991,1
71,7693,3
71,4920,2
71,7282,3
73,73,1
73,10688,1
73,9645,3
73,589,1
73,132,1
73,801,1
73,10284,1
73,8237,1
73,8894,1
73,8453,2
75,8771,2
75,6323,1
75,10025,1
75,1260,1
75,10380,1
75,1061,1
75,1058,1
75,4502,1
75,2560,1
75,3377,1
75,10432,1
75,8749,1
75,5164,5
75,3899,1
75,598,4
75,8920,5
75,9562,1
75,4055,1
75,9567,1
75,5994,1
75,9280,5
75,9650,1
76,3750,3
76,9603,1
76,2389,4
76,5404,3
76,10246,1
76,3989,6
76,3509,1
76,6475,1
76,6715,5
76,1790,2
76,2476,3
76,3322,6
76,2985,1
76,2556,1
76,5076,1
76,5439,1
76,5824,1
76,3556,4
76,3572,2
76,4089,1
76,8103,1
76,1278,3
76,5512,2
76,1271,2
76,10135,2
76,566,15
76,76,9
76,5768,33
76,5690,30
76,9207,1
76,5540,1
76,1728,1
9135,5265,1
78,3377,1
78,7334,1
78,4093,2
79,2030,5
79,79,2
79,2560,1
79,10580,1
79,2225,1
79,7280,1
79,10498,7
79,4203,7
81,9280,1
81,9194,1
81,4598,1
81,8112,1
81,504,1
81,6442,1
81,7507,1
81,5350,1
81,5164,1
81,6954,2
82,2369,2
83,8618,1
83,2583,1
83,2764,2
83,7971,1
83,7301,2
83,10640,1
83,4671,1
83,8569,1
85,85,2
85,5895,1
85,1927,1
85,690,1
86,3057,2
86,5112,3
86,1113,3
86,86,1
7828,2999,2
7828,1365,1
7828,3573,5
7828,7212,1
88,7214,1
88,10266,1
88,3573,3
89,7177,2
89,2197,1
89,6455,1
89,10587,1
89,2704,2
89,5454,1
89,3881,1
89,8280,21
89,2652,1
89,4862,14
89,6725,1
89,9461,1
89,10625,1
89,4717,1
89,9335,1
89,8698,1
89,1750,1
89,3463,6
89,5569,1
89,9701,2
89,247,1
89,8953,1
89,5164,1
89,10522,1
89,5969,2
89,3899,3
89,6199,1
89,4128,1
89,7507,1
89,1239,1
89,8634,1
89,7678,1
89,446,1
89,5983,5
89,5265,2
89,8114,1
89,2730,1
89,1212,1
89,8894,1
90,4112,2
91,4325,1
91,3024,1
91,5448,2
91,5629,1
91,7638,2
92,6451,1
92,9974,1
93,3609,1
93,10886,1
93,9199,1
94,2892,1
94,9856,2
94,9330,1
95,10644,1
96,10886,1
98,9923,1
99,3076,1
100,9986,1
100,6069,1
102,4052,1
102,3667,1
102,8609,1
102,10379,1
102,4545,16
102,4073,1
102,334,4
102,2553,3
102,5077,2
102,6860,3
102,589,1
102,10475,6
102,9029,3
102,8661,1
102,3225,2
102,7044,1
102,9746,1
102,9843,4
102,5971,2
102,7595,3
102,10645,3
102,2266,2
102,3601,1
102,7845,1
102,10177,2
102,1424,1
102,5033,6
102,3609,1
102,7680,2
102,4181,4
102,765,1
102,2856,1
102,7524,1
102,8527,4
103,1729,2
103,6967,1
103,1943,10
103,10587,2
103,2074,7
103,8168,1
103,6803,2
103,918,1
103,10439,5
103,3247,1
103,10238,2
103,1320,1
103,8693,11
103,9373,2
103,9960,6
103,2287,8
103,10158,3
103,10293,3
103,7921,4
103,103,4
103,150,4
103,7192,3
103,3283,4
103,1703,1
103,8243,2
103,2398,1
103,1456,1
103,789,7
103,2081,2
103,2175,1
103,7588,2
103,2133,1
103,5295,4
103,9392,8
103,8545,1
103,9516,1
103,1589,13
103,10771,3
103,9380,4
103,10608,1
103,3728,1
103,9928,1
103,9382,1
103,4835,3
103,8526,1
103,8470,1
103,4210,4
103,7249,6
103,8110,7
103,2618,15
103,372,3
103,3482,1
103,5014,2
103,9187,2
103,5091,1
103,6312,1
103,4638,3
103,2458,1
103,9081,1
103,9087,4
103,1800,1
103,9644,1
103,445,7
103,8476,1
103,3977,1
103,7114,1
103,5879,1
103,1482,3
103,9948,1
103,3588,1
103,8482,1
103,5304,1
103,3171,1
103,2196,1
103,8994,2
103,7070,1
104,5593,1
107,10132,2
652,5817,1
110,5788,1
110,4112,2
111,5661,1
113,8155,1
113,7644,1
113,9558,1
114,5514,1
114,2644,2
114,5499,4
116,9473,1
116,4575,5
116,7372,3
116,2167,2
116,9383,1
116,9023,1
116,2163,2
116,831,1
116,9824,1
116,4112,6
116,8155,19
116,6422,14
116,6544,3
116,10432,1
116,388,1
116,1631,2
116,9436,2
116,10144,2
116,5164,1
116,5544,1
116,6867,3
116,10886,1
116,1923,3
116,8838,1
116,7459,3
116,7507,1
116,6349,12
116,3012,2
116,5094,1
116,7678,7
116,7297,4
116,2380,3
116,329,1
116,1333,2
116,9006,1
116,5225,3
116,2152,3
116,8390,1
116,10284,1
116,3405,7
117,1489,4
117,3230,1
117,7778,1
117,5661,1
117,9960,1
117,8871,1
117,3756,3
117,9026,1
117,10115,1
117,3767,1
117,7496,1
117,6425,1
117,1552,2
117,1021,1
117,7809,1
117,3143,1
117,7250,7
117,6225,2
117,6354,1
117,6069,1
117,9900,1
117,8080,1
118,6316,3
118,391,1
118,10502,2
118,2202,2
118,5265,18
118,582,3
118,10473,2
118,880,1
118,1512,3
118,2702,1
118,8048,1
118,7941,1
118,1665,1
118,5683,1
118,5625,1
118,5125,2
118,7206,1
118,7049,1
118,5897,1
118,7507,1
118,1116,1
118,5431,1
118,3051,1
118,2676,2
118,10527,1
118,127,2
118,7018,2
118,2898,6
118,5803,1
118,3616,1
118,625,1
122,4093,1
123,7710,1
125,7050,1
125,4093,1
6336,680,1
127,2867,1
127,880,1
127,10403,1
127,2898,3
127,118,2
127,247,1
132,4620,1
132,8237,1
133,8693,1
133,5983,1
3696,8920,1
3696,598,2
136,2796,1
137,2214,1
137,8906,1
137,10239,1
137,3573,2
829,1552,3
829,1089,1
829,10608,1
829,2369,2
829,10359,1
829,2287,2
829,4683,9
829,6482,6
140,9397,1
140,401,1
140,5026,1
832,6762,1
832,4098,1
832,786,3
832,10188,1
832,3573,4
142,8650,1
145,10264,1
145,2202,1
145,3889,1
146,9635,1
146,4112,2
146,3550,3
146,3593,1
146,6828,1
146,3974,1
146,10685,1
146,6184,1
147,1729,1
148,1552,1
148,7809,4
148,3756,4
148,3767,4
149,1089,1
149,772,1
149,2519,1
149,4616,1
149,5164,1
149,10562,1
150,1589,1
150,103,6
150,7287,3
150,1560,1
150,9382,3
150,9392,5
151,3665,1
151,5275,1
151,766,1
153,1541,1
153,7819,1
153,526,1
153,10663,1
153,1089,3
155,5845,2
155,10886,5
155,8340,1
155,649,1
155,9893,2
155,1347,2
156,7991,1
156,10582,1
156,6579,2
157,2959,1
159,3430,1
159,5124,1
159,5971,1
159,9800,1
159,9614,1
159,2017,1
159,2560,2
159,760,1
159,8334,1
159,5969,1
159,4862,1
159,8382,1
159,2994,1
161,1089,1
163,4299,1
163,7269,1
163,3825,1
163,3166,1
163,5872,1
163,10886,1
163,5591,1
163,7661,1
163,6544,1
163,7532,1
163,9199,1
163,10410,10
163,1800,1
165,9004,1
165,8808,32
165,3667,8
165,8277,3
165,5033,4
165,4545,1
165,7434,1
165,8453,9
165,5971,1
165,2792,1
165,589,13
165,10210,1
165,3225,1
165,2614,2
165,3125,1
165,5266,1
165,10688,2
165,9843,33
165,4920,1
165,10645,9
165,2266,1
165,73,23
165,5257,1
165,2892,25
165,8237,7
165,8609,1
165,165,32
165,2676,1
165,7062,33
165,3609,4
165,9856,2
165,8894,1
165,3617,1
166,8444,1
167,2779,1
167,4025,1
168,8771,1
168,8920,1
168,2560,1
168,1807,1
172,4345,1
172,7283,1
172,9741,1
178,3835,1
178,454,1
180,2239,1
180,598,1
180,1665,1
180,2999,1
181,4093,1
185,6521,1
185,3326,1
185,2017,1
185,3559,1
185,2676,2
185,165,1
185,4356,1
185,9586,1
186,5983,1
187,2313,1
187,3602,1
187,7416,1
187,8911,1
187,3550,3
187,3573,1
187,9884,1
188,4434,1
188,10414,1
188,4820,1
189,2820,3
189,1779,2
189,2704,3
189,1480,2
189,9958,2
189,3889,2
189,1265,2
189,5936,1
189,9965,1
189,4093,1
189,3035,1
189,7001,1
189,294,2
189,2560,1
189,3224,1
189,6547,4
189,3185,4
189,2176,1
189,1233,2
189,8375,1
189,10886,7
189,5426,1
189,1967,3
189,4522,3
189,6349,4
189,6184,1
189,4299,1
189,3609,1
189,7943,1
189,3240,3
189,1253,7
189,9457,4
189,3065,2
191,7778,7
191,8735,1
191,7098,1
191,1148,1
191,7250,10
191,6517,1
191,7021,1
191,5749,1
196,4596,1
196,4339,1
196,1012,1
196,2898,1
196,8133,3
196,3123,3
197,7900,1
198,2197,1
198,8781,1
198,7148,1
198,9974,2
200,4093,3
202,10697,1
203,3550,2
204,3024,28
204,5917,2
204,1985,2
204,5238,1
204,779,1
204,4325,28
204,6649,4
204,9429,1
204,3768,1
204,2378,1
204,7664,1
204,1152,1
204,2605,2
204,5629,28
204,9974,2
204,8890,2
204,6650,2
204,2681,2
204,1819,3
204,4579,1
204,1253,2
204,9651,2
205,678,1
208,9429,1
209,1085,1
209,2467,36
209,4491,1
209,8273,1
209,3070,1
209,8808,1
209,7532,2
209,8040,2
209,8280,13
209,4942,2
209,1543,7
209,5388,1
209,6422,3
209,3962,4
209,2910,1
209,1335,1
209,9429,1
209,4279,1
209,3254,3
209,2560,1
209,9258,1
209,6544,1
209,2446,3
209,6236,1
209,4913,4
209,5626,1
209,8953,2
209,8659,1
209,5164,3
209,9702,1
209,5969,2
209,7664,2
209,6199,1
209,3813,1
209,10765,3
209,10886,34
209,209,1
209,1966,6
209,10085,1
209,5591,7
209,9792,1
209,8628,8
209,1239,1
209,8176,1
209,6349,7
209,5722,4
209,8965,1
209,3907,2
209,2676,12
209,10015,1
209,3530,1
209,9645,5
209,3609,3
209,3398,3
209,2017,2
209,1819,1
209,1333,1
209,9280,2
209,6887,5
209,9194,1
209,2775,1
209,1687,5
209,8894,1
209,3405,3
211,2491,1
212,1333,1
214,2294,2
214,6531,1
214,1260,2
214,2560,2
214,10580,1
214,2225,1
214,4546,2
214,6423,2
214,9627,1
214,1738,2
214,1687,2
216,9703,1
216,5164,1
216,1750,1
216,2805,1
217,9092,1
217,6622,1
217,1395,1
217,10326,1
217,4199,1
218,772,2
219,9341,1
219,2787,2
219,4093,2
219,219,4
219,4529,1
219,3729,5
219,1750,2
219,6148,1
219,5661,4
219,8357,1
219,5785,1
219,7947,2
219,3357,4
219,438,1
219,4334,13
219,5486,1
219,8932,9
219,5969,2
220,612,1
220,9334,1
222,1182,1
222,108,1
222,3664,1
4579,4088,1
4579,1921,1
4579,1217,1
4579,1328,1
4579,8450,1
4579,5238,1
225,7937,1
225,831,4
225,360,4
225,66,4
225,1333,1
225,7372,1
227,5164,1
230,5034,1
231,5538,2
231,8108,1
231,10298,2
232,6887,1
232,1512,1
232,3251,1
232,1750,3
232,5265,1
232,4055,2
232,8142,1
232,7652,1
232,9964,1
232,5969,3
233,5164,1
234,231,1
234,7507,1
236,2446,1
237,8866,1
238,6860,1
238,2560,1
239,3351,1
239,5947,1
239,8454,1
1417,3562,1
1417,6101,1
243,3768,1
243,3024,1
243,2253,1
243,6236,1
243,5713,3
243,2777,1
1924,3609,1
1924,4502,1
1924,9856,3
1924,1253,1
1924,2560,2
247,5112,1
247,3012,1
247,8155,1
250,8771,2
250,4054,1
250,2637,2
250,9020,2
250,1955,2
250,2903,2
253,5969,1
1514,3076,2
1514,5605,1
1514,9818,1
1514,716,1
258,1729,2
258,4497,5
258,8871,1
259,7034,2
259,7619,1
259,5593,2
259,6887,2
260,9341,1
260,1953,1
267,10239,1
268,7951,2
268,10299,1
268,8162,1
268,6863,7
268,6318,1
268,2147,1
268,7387,1
268,2559,1
268,8357,3
268,5663,1
268,6887,7
268,8776,1
268,5449,4
268,1347,5
269,8906,1
269,7741,2
269,9327,12
269,5192,2
269,3031,4
269,3672,1
269,876,2
269,10075,2
269,6091,1
269,7992,1
269,5619,1
269,2611,1
269,5744,1
269,3561,2
269,3183,1
269,5468,1
269,9970,1
269,5298,5
269,2008,1
269,7596,1
269,2494,1
269,5511,1
269,1841,1
269,3573,42
269,1105,1
269,6069,1
269,10239,1
269,1247,3
269,9364,3
269,6321,1
269,269,2
269,3242,28
269,1940,2
269,8769,42
270,4093,2
270,8920,4
270,3377,1
270,7021,1
270,75,1
270,7719,1
271,10886,3
271,6887,2
271,9566,1
1616,9960,1
1616,10608,1
1616,5931,2
1616,3832,2
1616,8965,3
1616,2162,2
1616,5969,4
276,8019,3
276,6069,3
276,4175,1
276,643,1
276,3720,1
276,2242,2
276,9626,1
276,5550,1
276,9553,1
276,3752,2
276,1257,3
277,10009,2
277,10473,1
277,2611,1
277,9213,1
277,4429,1
277,1955,1
277,7693,3
279,3593,1
280,2201,2
286,3593,1
286,137,1
288,4112,3
290,613,13
290,1089,1
290,5345,1
290,2532,21
290,2770,1
290,4482,19
290,6887,19
290,290,7
291,1333,1
293,1450,1
293,5690,1
294,8771,1
294,2131,1
294,1233,1
294,4522,1
294,6887,4
294,9457,1
1698,7778,2
1698,5918,2
1698,1233,2
298,10410,1
298,9491,1
298,7890,1
298,3767,1
300,5814,1
300,2131,3
300,6158,3
300,4695,2
302,5661,1
303,2867,1
303,10735,1
303,10536,1
303,5265,1
283,4093,1
306,10886,1
306,5627,1
307,3526,1
1767,5164,1
309,9986,13
309,5788,2
309,3431,1
309,6135,9
309,4603,3
312,5341,4
312,6622,3
312,8838,4
312,4081,1
312,2168,2
312,2843,4
312,9412,4
312,5032,1
312,6423,1
312,9223,1
312,5265,1
312,214,3
312,7135,1
313,4334,4
313,10674,1
313,4849,1
317,4093,1
317,5661,1
1828,4093,1
320,656,5
320,7962,1
320,9703,1
320,5265,6
320,4693,4
320,1415,1
320,2560,1
320,2262,1
324,10388,1
324,8216,2
324,9067,1
324,3415,1
326,2986,1
326,2467,1
326,10894,1
326,3220,2
326,16,2
326,2595,2
326,9777,1
326,8659,3
326,4142,2
326,10284,1
327,8906,88
327,6848,1
327,1017,1
327,9155,1
327,8357,1
327,4667,1
327,8739,1
327,56,3
327,5882,45
327,8905,1
327,8595,1
327,3178,1
327,2611,5
327,5929,1
327,5043,1
327,6702,1
327,9970,61
327,9884,1
327,8536,1
327,10266,10
327,2842,1
327,6014,1
327,10131,1
327,6013,1
327,7212,1
327,5432,1
327,1955,2
327,3573,128
327,7939,1
327,2541,1
327,6069,8
327,7674,1
327,10753,2
327,10895,1
327,4099,1
327,5648,1
327,5202,1
327,1365,6
327,10239,27
327,4535,1
327,327,2
334,9204,2
334,3667,1
334,8609,4
334,5033,4
334,4545,6
334,7270,3
334,7434,1
334,334,1
334,7442,1
334,10177,8
334,8453,1
334,102,1
334,1870,6
334,6860,11
334,10475,4
334,3123,2
334,3130,6
334,10597,3
334,10438,2
334,10645,1
334,9843,1
334,5971,4
334,7595,1
334,2179,3
334,3266,1
334,1324,2
334,1761,2
334,3601,1
334,2266,1
334,1029,1
334,2765,1
334,165,1
334,3125,1
334,6302,10
334,8303,4
334,3609,2
334,9856,2
334,3526,1
334,5647,6
334,7680,18
334,4181,2
334,8556,2
334,8527,2
335,8771,8
335,8906,4
335,3602,1
335,8736,1
335,9963,1
335,335,3
335,1058,1
335,1955,11
335,2611,1
335,648,1
335,5000,5
335,598,2
335,8920,5
335,2999,1
335,4132,2
335,9794,1
335,7212,2
335,1283,2
335,3573,3
335,7939,2
335,5983,2
335,9280,1
335,1365,5
340,3967,1
340,1648,1
340,5531,2
340,7778,2
340,3452,1
340,10866,1
340,6319,1
340,7030,1
340,5661,2
340,2055,1
340,4667,1
340,10247,1
340,10753,1
340,4816,1
340,2287,3
340,4974,1
340,3076,13
340,4093,6
340,6539,1
340,7021,1
340,2704,1
340,4634,1
340,7395,1
340,10388,17
340,4681,1
340,9087,1
340,1271,22
340,6778,1
340,3979,1
340,595,3
340,5049,4
340,10289,1
340,4860,1
340,10234,4
340,5894,1
340,3301,2
340,2802,12
340,7525,2
340,2409,1
340,5593,1
340,3143,4
340,7250,14
340,8574,1
340,6225,1
340,5749,2
340,9044,2
340,4789,1
340,7162,1
340,7714,1
340,1641,1
340,9276,2
340,10405,3
340,7808,3
340,7066,3
340,3920,1
340,10218,1
340,2775,1
340,1378,1
340,2351,1
340,9516,1
340,10232,2
340,7912,5
342,5851,1
343,2678,2
344,5476,1
344,7329,1
344,6860,1
344,7063,3
344,1985,3
344,7167,1
344,1819,3
344,2886,1
344,9679,1
344,5012,1
344,9429,3
344,779,4
344,238,1
344,10473,2
345,4950,7
345,9348,8
345,1513,10
345,7529,7
345,2702,13
345,10116,3
345,1038,2
345,345,1
345,9758,1
345,8283,1
345,8036,14
345,5969,18
345,4077,12
346,7001,1
346,6069,2
346,5107,1
346,8906,1
346,6176,1
346,8162,1
346,6769,1
346,5882,1
346,2611,15
346,612,1
346,10808,2
346,8610,1
346,9306,1
346,50,1
346,346,1
346,3550,2
346,3573,1
346,9015,1
347,5353,2
347,10120,2
347,8155,1
347,4962,2
349,5476,2
349,5241,1
349,406,1
349,7148,3
349,9974,3
349,1819,2
349,9679,1
349,5831,1
349,2681,1
349,185,1
349,4840,1
350,7778,27
350,2820,1
350,7001,1
350,5489,15
350,8771,1
350,5918,1
350,1819,2
350,2055,2
350,4667,3
350,6412,3
350,9461,1
350,4274,6
350,7693,1
350,3674,4
350,6091,2
350,5882,1
350,6587,2
350,9550,1
350,4996,1
350,2611,4
350,3463,1
350,3377,2
350,3183,2
350,5121,1
350,595,21
350,3132,3
350,9310,1
350,2883,4
350,1146,5
350,4093,1
350,6876,1
350,1271,4
350,9225,3
350,3573,1
350,8357,1
350,6069,12
350,6520,2
350,1480,7
350,4901,11
350,1645,1
350,1253,2
352,2239,2
352,3035,4
352,3254,1
352,1206,1
352,686,2
352,1750,1
352,2560,4
352,9280,4
352,5969,1
352,5238,1
352,8334,1
355,7537,1
355,10410,4
355,10025,1
355,4712,2
355,10514,1
355,10886,1
355,10765,1
355,10284,2
355,7532,3
355,8650,4
355,2173,2
355,8976,3
355,4669,1
355,4683,1
355,10901,1
355,7200,1
355,611,2
358,9645,2
358,630,1
358,4142,1
360,1085,1
360,7529,1
360,4546,1
360,7422,3
360,7133,4
360,10298,1
360,880,2
360,8659,1
360,7941,1
360,7372,1
360,7051,1
360,4598,1
360,7459,1
360,831,1
360,6180,2
360,9936,1
360,3012,1
360,1160,2
360,360,3
360,9194,1
360,5265,1
360,1333,8
360,10410,1
360,1687,1
361,9986,2
361,2428,1
361,4112,23
361,10298,7
361,880,1
361,2987,1
361,5579,1
361,7090,1
361,9743,1
361,6887,2
361,6135,2
361,7941,5
361,3089,6
361,1513,3
361,7459,1
361,9708,2
361,1237,6
361,2628,2
361,6349,2
361,4603,1
361,2930,2
361,9937,2
361,8166,2
361,3605,1
361,1160,1
361,10542,1
361,361,3
361,1333,1
361,3698,1
361,8114,14
361,4094,1
362,8138,1
362,9721,1
362,7503,1
362,6591,1
362,549,1
362,3602,1
364,10886,1
364,6887,1
367,1335,1
368,5994,1
368,1750,1
368,6768,1
369,3736,2
369,4145,1
369,6345,1
369,4083,2
369,5680,1
369,5034,1
369,10765,2
369,10271,2
369,5593,5
369,6236,3
369,5713,5
369,8758,1
369,3024,1
370,6069,11
370,3183,1
370,10266,2
370,3377,1
370,2611,3
370,1750,10
370,4667,5
370,3980,1
370,10131,1
370,3573,4
370,50,1
370,6887,2
370,7693,3
370,783,1
371,5265,3
2139,10886,1
373,4822,1
373,2560,1
375,5129,1
376,6239,1
376,10466,1
378,10555,1
378,4929,1
378,6622,2
378,7866,2
378,9194,9
378,3254,1
378,2168,1
378,4587,1
378,639,1
378,1967,3
378,1583,8
378,1065,1
378,2843,1
378,8283,1
378,3735,11
378,8677,2
378,10298,3
384,598,1
384,9738,1
384,6307,1
384,8650,1
384,5817,1
387,7192,1
387,1335,2
387,3728,1
387,10496,1
387,2287,1
387,8704,1
387,10371,1
388,1085,2
388,3254,3
388,562,1
388,5661,12
388,2781,1
388,2121,1
388,8597,2
388,4881,1
388,4634,12
388,2958,1
388,388,4
388,9429,2
388,7051,2
388,10765,3
388,2136,2
388,2805,1
388,399,1
388,1955,1
388,2143,6
388,402,3
388,3838,2
388,2147,1
388,6887,124
388,5969,18
388,9194,5
388,10284,1
388,4849,2
388,4311,1
388,9820,2
388,4488,1
388,4491,1
388,6768,2
388,2822,7
388,4150,1
388,10788,2
388,5357,2
388,8280,2
388,513,1
388,7619,2
388,4093,12
388,2167,1
388,10473,2
388,243,1
388,6544,3
388,8953,1
388,1645,6
388,4334,45
388,8460,2
388,1665,1
388,8956,1
388,8786,2
388,6555,1
388,9824,3
388,9636,1
388,10645,2
388,9974,3
388,3338,9
388,10316,2
388,6236,3
388,3868,1
388,5727,1
388,4023,2
388,7294,9
388,5388,3
388,10628,3
388,7638,3
388,4180,1
388,3357,5
388,8977,1
388,7306,2
388,4712,3
388,8771,1
388,1174,1
388,2513,4
388,10156,2
388,6412,1
388,7652,8
388,3550,1
388,2867,4
388,3035,1
388,10516,1
388,1701,1
388,3037,3
388,6246,1
388,7661,1
388,550,1
388,7837,2
388,2886,2
388,2244,1
388,5591,3
388,8339,1
388,7507,1
388,4055,2
388,2228,1
388,4317,1
388,6263,1
388,858,1
388,2066,4
388,446,2
388,9862,3
388,2236,1
388,10674,9
388,5448,1
388,10705,2
388,3074,1
388,9689,1
388,8202,1
388,8522,4
388,8700,1
388,1750,111
388,2560,2
388,6818,2
388,1406,2
388,6291,1
388,6644,2
388,1233,1
388,10886,1
388,4684,2
388,7892,3
388,8555,1
388,10403,3
388,3609,4
388,2770,2
388,3107,1
388,10410,6
388,5654,2
2238,5093,1
2238,3751,1
2238,3014,1
2238,4663,1
2238,6625,1
2238,156,1
2238,10359,7
2238,4452,1
2238,2732,1
2238,3153,1
2238,2129,1
391,1750,1
391,2560,1
391,8506,2
391,2375,1
391,5091,2
391,5475,1
393,3132,1
393,2883,1
393,6482,11
393,2777,4
394,3759,1
394,1335,2
394,3240,1
394,3557,1
394,9280,1
394,1333,2
394,636,2
394,10298,2
401,5706,1
401,10235,1
404,10542,1
404,1128,1
404,8114,3
404,4112,3
406,9027,4
406,1611,2
406,4812,2
406,1256,2
406,5831,11
406,6856,1
406,9586,3
406,544,6
406,3962,4
406,9429,16
406,3886,1
406,3130,1
406,5266,2
406,4641,1
406,6280,1
406,6176,1
406,10765,1
406,2965,2
406,5173,11
406,10276,1
406,6184,1
406,6880,1
406,8433,3
406,1819,20
406,409,1
406,3831,11
406,6360,1
406,1985,26
406,7148,1
406,2823,3
406,5033,1
406,779,4
406,4409,1
406,7195,10
406,3263,1
406,4158,4
406,9782,59
406,2605,1
406,4516,10
406,9132,2
406,10128,1
406,3524,57
406,6065,1
406,5220,1
406,2676,1
406,1254,2
406,2500,2
406,2191,2
406,9808,1
406,721,1
406,2681,2
406,5232,59
406,5238,5
406,637,6
406,9166,1
406,6097,1
406,6952,1
406,10688,3
406,7329,7
406,4725,4
406,6763,6
406,3570,1
406,6607,1
406,5942,1
406,7958,2
406,8348,2
406,3741,1
406,9679,1
406,9198,16
406,1213,16
406,8690,1
